group_num,arabic_num,dots_num,pshare_conf1,c1_agreement,participant_sharing,c1,conf1,c2,conf2,correct_resp,c1_acc,c2_acc,conf_update,source_info,update,p_num,group_affiliation,resentie_v,resentie_r,attach_r,attach_v,identif_v,identif_r,favoritism_score,percent_agree_pshare,accuracy_over_time,percent_pshare_accuracy,percent_agree_pshare_accurate,scaled_update,trial_number,actual_p_num,local_percent_pshare_accuracy,local_percent_agree_pshare,local_accuracy_over_time,local_percent_agree_pshare_accurate,prefered_group
8,56.0,60.0,5,disagree,2,1,70,1,70,1,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.5,0.5588,0.5,0.4,0.0,33,1,0.5,0.5,0.6667,0.4,1
8,71.0,72.0,30,agree,4,1,50,1,50,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6,0.5714,0.6,0.4,0.0,34,1,0.6,0.6,0.6667,0.4,1
8,56.0,61.0,30,agree,3,1,80,1,80,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.5833,0.5833,0.5833,0.4167,0.0,35,1,0.5556,0.4444,0.7778,0.3333,1
8,50.0,48.0,20,disagree,3,0,90,0,80,0,1,1,-10,outgroup,0,1,green,70,50,0,0,30,0,50,0.5385,0.6053,0.5385,0.3846,-0.1111111111111111,37,1,0.5556,0.4444,0.8889,0.3333,1
8,64.0,62.0,10,disagree,2,1,10,1,5,0,0,0,-5,ingroup,0,1,green,70,50,0,0,30,0,50,0.4545,0.575,0.5455,0.3636,-0.5,39,1,0.4444,0.4444,0.7778,0.3333,1
8,65.0,56.0,20,agree,4,0,40,0,50,0,1,1,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.5854,0.6667,0.5,0.16666666666666666,40,1,0.6667,0.6667,0.6667,0.5,1
8,61.0,62.0,20,disagree,2,1,20,1,10,1,1,1,-10,ingroup,0,1,green,70,50,0,0,30,0,50,0.4167,0.6047,0.5,0.3333,-0.5,42,1,0.4444,0.4444,0.7778,0.3333,1
8,49.0,53.0,10,disagree,2,1,60,1,50,1,1,1,-10,ingroup,0,1,green,70,50,0,0,30,0,50,0.3846,0.6136,0.4615,0.3077,-0.16666666666666666,43,1,0.3333,0.3333,0.7778,0.2222,1
8,62.0,61.0,20,agree,4,1,50,1,60,0,0,0,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.7143,0.6,0.5714,0.4286,0.2,44,1,0.5714,0.7143,0.7778,0.4286,1
8,59.0,62.0,40,disagree,3,1,50,1,30,1,1,1,-20,outgroup,0,1,green,70,50,0,0,30,0,50,0.5,0.6087,0.5,0.3571,-0.4,45,1,0.5556,0.4444,0.6667,0.3333,1
8,55.0,57.0,5,disagree,2,1,60,1,60,1,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.3571,0.617,0.4286,0.2857,0.0,46,1,0.3333,0.2222,0.6667,0.2222,1
8,60.0,59.0,40,disagree,3,1,60,1,50,0,0,0,-10,outgroup,0,1,green,70,50,0,0,30,0,50,0.4667,0.6042,0.5333,0.3333,-0.16666666666666666,47,1,0.5556,0.3333,0.6667,0.3333,1
8,60.0,63.0,10,agree,4,1,60,1,60,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.75,0.6122,0.625,0.5,0.0,48,1,0.625,0.75,0.6667,0.5,1
8,58.0,59.0,30,disagree,3,1,80,1,50,1,1,1,-30,outgroup,0,1,green,70,50,0,0,30,0,50,0.4375,0.62,0.5,0.3125,-0.375,49,1,0.5556,0.3333,0.7778,0.3333,1
8,49.0,54.0,20,agree,3,1,20,1,20,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.4706,0.6275,0.5294,0.3529,0.0,50,1,0.4444,0.2222,0.7778,0.2222,1
8,61.0,58.0,80,disagree,2,1,20,0,20,0,0,1,0,ingroup,1,1,green,70,50,0,0,30,0,50,0.3333,0.6346,0.4667,0.2667,0.0,51,1,0.2222,0.1111,0.7778,0.1111,1
8,59.0,63.0,60,agree,3,1,80,1,80,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.5,0.6415,0.5556,0.3889,0.0,52,1,0.4444,0.3333,0.7778,0.3333,1
8,56.0,59.0,30,agree,3,1,10,1,10,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.5263,0.6316,0.5789,0.4211,0.0,56,1,0.4444,0.3333,0.6667,0.3333,1
8,48.0,47.0,20,disagree,4,1,10,1,5,0,0,0,-5,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.6207,0.6667,0.4444,-0.5,57,1,0.6667,0.6667,0.7778,0.4444,1
8,68.0,66.0,20,agree,4,1,20,1,20,0,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.7,0.6102,0.6,0.4,0.0,58,1,0.6,0.7,0.6667,0.4,1
8,56.0,55.0,30,agree,2,0,10,0,20,0,1,1,10,ingroup,0,1,green,70,50,0,0,30,0,50,0.375,0.6167,0.5,0.3125,0.1111111111111111,59,1,0.2222,0.0,0.5556,0.0,1
8,58.0,60.0,40,disagree,3,1,80,1,70,1,1,1,-10,outgroup,0,1,green,70,50,0,0,30,0,50,0.5,0.623,0.55,0.4,-0.125,60,1,0.5556,0.4444,0.5556,0.4444,1
8,74.0,73.0,10,disagree,4,1,20,1,5,0,0,0,-15,outgroup,0,1,green,70,50,0,0,30,0,50,0.6364,0.6129,0.6364,0.3636,-0.75,61,1,0.5556,0.6667,0.5556,0.3333,1
8,54.0,53.0,5,agree,2,1,10,1,10,0,0,0,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.4118,0.5938,0.4706,0.2941,0.0,63,1,0.3333,0.1111,0.4444,0.1111,1
